Volcano Name,Country,Latitude,Longitude,Elevation (m),Type,Status,Last Known Eruption,year,mo,dy,tsu,eq,vei,deaths,damage_mil,houses_destroyed,total_deaths,total_damage_mil
Fentale,Ethiopia,8.975,39.93,2007,Stratovolcano,Historical,D3,1250,,,,,,,,,,
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1262,,,,,3,,,,,
Quilotoa,Ecuador,-0.85,-78.9,3914,Caldera,Radiocarbon,D6,1280,,,,,6,,,,,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1300,7,11,,,4,,,,600,
Ischia,Italy,40.73,13.897,789,Complex volcano,Historical,D6,1302,,,,,,,,,,
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1311,1,18,,,4,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1311,,,,,3,,,,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1329,6,28,3112,9973,3,,,,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1329,7,,,,1,,,,,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1331,12,,,,2,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1334,,,,,3,,,,,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1341,5,19,,,3,,,,,
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1357,,,,,4,,,,,
Oraefajokull,Iceland,64,-16.65,2010,Stratovolcano,Historical,D4,1362,6,5,,,5,220,,,220,
"Chichon, El",Mexico,17.36,-93.228,1150,Tuff cone,Historical,D1,1375,,,,,5,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1376,,,,,3,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1385,,,,,3,,,,,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1389,12,1,,,3,,,,,
Nasudake,Japan,37.125,139.963,1915,Stratovolcano,Historical,D2,1410,3,5,,,3,180,,,180,
Kuwae,Vanuatu,-16.829,168.536,-2,Caldera,Historical,D1,1430,,,,,,,,,,
Aira,Japan,31.593,130.657,1117,Stratovolcano,Historical,D1,1471,11,3,,,5,,,,,
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,Historical,D2,1477,2,,,,6,,,,,
Asosan,Japan,32.884,131.104,1592,Caldera,Historical,D1,1485,1,,,,2,1,,,1,
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1500,,,,,4,,,,,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1510,7,25,,,4,1,,,1,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1510,10,15,,,4,,,,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1536,3,23,,,3,1,,,1,
Campi Flegrei,Italy,40.827,14.139,458,Caldera,Historical,D5,1538,9,29,,,3,24,,,24,
Augustine,United States,59.363,-153.43,1252,Lava dome,Historical,D1,1540,,,2874,,4,,,,,
Dukono,Indonesia,1.693,127.894,1229,Complex volcano,Historical,D1,1550,11,,,,3,,,,,
Kie Besi,Indonesia,0.32,127.4,1357,Stratovolcano,Historical,D1,1550,,,5863,,3,,,,,
Gamkonora,Indonesia,1.38,127.53,1635,Stratovolcano,Historical,D1,1564,12,31,,,3,,,,,
Pacaya,Guatemala,14.382,-90.601,2569,Complex volcano,Historical,D1,1565,8,,,9788,3,,,,,
Kirishimayama,Japan,31.934,130.862,1700,Shield volcano,Historical,D1,1566,10,31,,,3,,,,,
Savo,Solomon Is.,-9.13,159.82,485,Stratovolcano,Historical,D3,1568,,,,,3,1001,,,1001,
Mombacho,Nicaragua,11.826,-85.968,1344,Stratovolcano,Holocene,U,1570,,,,,,400,,,400,
Taal,Philippines,14.002,120.993,311,Stratovolcano,Historical,D1,1572,,,,,3,,,,,
Colima,Mexico,19.514,-103.62,3850,Stratovolcano,Historical,D1,1576,,,,,3,,,,,
Sao Jorge,Portugal,38.65,-28.08,1053,Fissure vent,Historical,D2,1580,5,1,,,3,10,,,10,
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1580,8,11,,,4,,,,,
Billy Mitchell,Papua New Guinea,-6.092,155.225,1544,Pyroclastic shield,Radiocarbon,D5,1580,,,,,6,,,,,
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,1581,12,26,,,4,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1586,,,,,5,10000,,,10000,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1587,,,,,4,,,,,
Colima,Mexico,19.514,-103.62,3850,Stratovolcano,Historical,D1,1590,1,15,,,3,,,,,
Raung,Indonesia,-8.119,114.056,3260,Stratovolcano,Historical,D1,1593,,,,,5,,,,,
"Ruiz, Nevado del",Colombia,4.892,-75.324,5279,Stratovolcano,Historical,D1,1595,3,12,,,4,636,,,636,
Asamayama,Japan,36.406,138.523,2568,Complex volcano,Historical,D1,1596,5,1,,,2,,,,,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1597,1,3,,,4,,,,,
Raung,Indonesia,-8.119,114.056,3260,Stratovolcano,Historical,D1,1597,,,,,3,,,,,
Asamayama,Japan,36.406,138.523,2568,Complex volcano,Historical,D1,1598,5,13,,,2,800,,,800,
Banda Api,Pacific Ocean,-4.523,129.881,596,Caldera,Historical,D1,1598,,,,,3,,,,,
Huaynaputina,Peru,-16.608,-70.85,4850,Stratovolcano,Historical,D5,1600,2,19,,814,6,1500,,,1500,
Hachijojima,Japan,33.137,139.766,854,Stratovolcano,Historical,D5,1606,1,23,219,,2,,,,,
Gamalama,Indonesia,0.8,127.33,1715,Stratovolcano,Historical,D1,1608,7,18,222,,3,,,,,
Tengchong,China,25.23,98.5,2865,Pyroclastic cone,Historical,D5,1609,,,,,,,,,,
Banda Api,Pacific Ocean,-4.523,129.881,596,Caldera,Historical,D1,1615,3,,,,3,,,,,
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,1617,,,,,3,,,,,
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1625,9,2,,,5,,,,,
Grimsvotn,Iceland,64.416,-17.316,1719,Caldera,Historical,D1,1629,,,,,2,4,,,4,
Furnas,Portugal,37.77,-25.32,805,Stratovolcano,Historical,D5,1630,9,3,,,4,200,,,200,
Dama Ali,Ethiopia,11.28,41.63,1068,Shield volcano,Historical,D5,1631,2,14,,920,,50,,,50,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1631,12,16,3129,9756,5,4000,,,4000,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1636,5,15,,,3,,,,,
Raung,Indonesia,-8.119,114.056,3260,Stratovolcano,Historical,D1,1638,,,,,4,1001,,,1001,
Hokkaido-Komagatake,Japan,42.063,140.677,1131,Stratovolcano,Historical,D1,1640,7,31,253,942,5,,,,700,
Tungurahua,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,1640,,,,,3,5000,,,5000,
Kie Besi,Indonesia,0.32,127.4,1357,Stratovolcano,Historical,D1,1646,7,19,5754,10519,4,,,,,
Santorini,Greece,36.404,25.396,367,Shield volcano,Historical,D2,1650,9,26,269,,4,120,,,120,
San Salvador,El Salvador,13.734,-89.294,1893,Stratovolcano,Historical,D2,1659,9,30,,6879,3,,,,,
Teon,Pacific Ocean,-6.976,129.144,728,Stratovolcano,Historical,D2,1659,11,11,285,,4,,,,,
Teon,Pacific Ocean,-6.976,129.144,728,Stratovolcano,Historical,D2,1660,2,,,,4,3,,,3,
Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,Historical,D1,1660,10,27,,1017,4,,,,,
